phenomenon	figure_stem	label	title	language	clause_wo	np_wo	alignment	comp_system	strategy	anc_choice_word_order	anc_iv_order	anc_tv_order	n_pairs	accuracy	accuracy_sd	accuracy_pct	accuracy_pct_sd	accuracy_min	accuracy_max	ties_mean	tie_rate	mean_delta_good_minus_bad	mean_delta_good_minus_bad_sd	score_mode	seeds
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	37_svo_gn_ac_d_pa	svo	gn	nom-acc	deranking	poss-acc	svo	SV	AVP	100	0.9833333333333333	0.01527525231651948	98.33333333333333	1.5275252316519468	0.97	1.0	0.0	0.0	1.2599640417098998	0.04869867083296542	bos_eos	seed_42,seed_43,seed_44
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	38_svo_gn_ac_d_ep	svo	gn	nom-acc	deranking	erg-poss	sov	SV	PVA	100	0.9533333333333333	0.005773502691896263	95.33333333333333	0.5773502691896257	0.95	0.96	0.0	0.0	1.227141342163086	0.0633133842789242	bos_eos	seed_42,seed_43,seed_44
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	39_svo_gn_ac_d_no	svo	gn	nom-acc	deranking	nomn	svo	SV	AVP	100	0.9633333333333333	0.01527525231651948	96.33333333333333	1.5275252316519468	0.95	0.98	0.0	0.0	1.21944504737854	0.0882531738933107	bos_eos	seed_42,seed_43,seed_44
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	40_svo_gn_er_b_se	svo	gn	erg-abs	balancing	sent	svo	SV	AVP	100	1.0	0.0	100.0	0.0	1.0	1.0	0.0	0.0	3.1885260923703513	0.21989131107626486	bos_eos	seed_42,seed_43,seed_44
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	41_svo_gn_er_b_pa	svo	gn	erg-abs	balancing	poss-acc	svo	SV	AVP	100	1.0	0.0	100.0	0.0	1.0	1.0	0.0	0.0	3.3318286681175233	0.10363727995841497	bos_eos	seed_42,seed_43,seed_44
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	42_svo_gn_er_b_ep	svo	gn	erg-abs	balancing	erg-poss	sov	SV	PVA	100	1.0	0.0	100.0	0.0	1.0	1.0	0.0	0.0	3.4278403449058534	0.2678026976820825	bos_eos	seed_42,seed_43,seed_44
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	43_svo_gn_er_b_no	svo	gn	erg-abs	balancing	nomn	svo	SV	AVP	100	0.9966666666666667	0.005773502691896263	99.66666666666667	0.5773502691896257	0.99	1.0	0.0	0.0	3.380128936767578	0.03680055208650807	bos_eos	seed_42,seed_43,seed_44
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	44_svo_gn_er_d_se	svo	gn	erg-abs	deranking	sent	svo	SV	AVP	100	0.9733333333333333	0.020816659994661348	97.33333333333333	2.0816659994661326	0.95	0.99	0.0	0.0	1.4671320978800455	0.11968642571056064	bos_eos	seed_42,seed_43,seed_44
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	45_svo_gn_er_d_pa	svo	gn	erg-abs	deranking	poss-acc	svo	SV	AVP	100	0.9733333333333333	0.01527525231651948	97.33333333333333	1.5275252316519468	0.96	0.99	0.0	0.0	1.4183378267288207	0.028196798341903292	bos_eos	seed_42,seed_43,seed_44
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	46_svo_gn_er_d_ep	svo	gn	erg-abs	deranking	erg-poss	sov	SV	PVA	100	0.9633333333333333	0.005773502691896263	96.33333333333333	0.5773502691896257	0.96	0.97	0.0	0.0	1.4389299861590068	0.16275982299529337	bos_eos	seed_42,seed_43,seed_44
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	47_svo_gn_er_d_no	svo	gn	erg-abs	deranking	nomn	svo	SV	AVP	100	0.9633333333333333	0.011547005383792526	96.33333333333333	1.1547005383792515	0.95	0.97	0.0	0.0	1.424840973218282	0.11597950887971133	bos_eos	seed_42,seed_43,seed_44
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	48_svo_ng_ac_b_se	svo	ng	nom-acc	balancing	sent	svo	SV	AVP	100	1.0	0.0	100.0	0.0	1.0	1.0	0.0	0.0	3.316370697021484	0.12283828507552745	bos_eos	seed_42,seed_43,seed_44
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	49_svo_ng_ac_b_pa	svo	ng	nom-acc	balancing	poss-acc	vos	VS	VPA	100	1.0	0.0	100.0	0.0	1.0	1.0	0.0	0.0	3.4926282517115275	0.13070268079516545	bos_eos	seed_42,seed_43,seed_44
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	50_svo_ng_ac_b_ep	svo	ng	nom-acc	balancing	erg-poss	vos	VS	VPA	100	1.0	0.0	100.0	0.0	1.0	1.0	0.0	0.0	3.64065504471461	0.13903597383971095	bos_eos	seed_42,seed_43,seed_44
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	51_svo_ng_ac_b_no	svo	ng	nom-acc	balancing	nomn	vos	VS	VPA	100	1.0	0.0	100.0	0.0	1.0	1.0	0.0	0.0	3.622501440048218	0.14250739303306043	bos_eos	seed_42,seed_43,seed_44
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	52_svo_ng_ac_d_se	svo	ng	nom-acc	deranking	sent	svo	SV	AVP	100	0.9733333333333333	0.028867513459481315	97.33333333333333	2.886751345948129	0.94	0.99	0.0	0.0	1.3168278980255128	0.10616998680297733	bos_eos	seed_42,seed_43,seed_44
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	53_svo_ng_ac_d_pa	svo	ng	nom-acc	deranking	poss-acc	vos	VS	VPA	100	0.9666666666666667	0.023094010767585053	96.66666666666667	2.309401076758503	0.94	0.98	0.0	0.0	1.3213916476567586	0.08333139107814554	bos_eos	seed_42,seed_43,seed_44
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	54_svo_ng_ac_d_ep	svo	ng	nom-acc	deranking	erg-poss	vos	VS	VPA	100	0.9866666666666667	0.01527525231651948	98.66666666666667	1.5275252316519468	0.97	1.0	0.0	0.0	1.3125263102849325	0.055846224840035576	bos_eos	seed_42,seed_43,seed_44
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	55_svo_ng_ac_d_no	svo	ng	nom-acc	deranking	nomn	vos	VS	VPA	100	0.9766666666666667	0.005773502691896263	97.66666666666667	0.5773502691896257	0.97	0.98	0.0	0.0	1.2942604446411132	0.02890293466837275	bos_eos	seed_42,seed_43,seed_44
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	56_svo_ng_er_b_se	svo	ng	erg-abs	balancing	sent	svo	SV	AVP	100	1.0	0.0	100.0	0.0	1.0	1.0	0.0	0.0	3.0773439693450926	0.14800905489945354	bos_eos	seed_42,seed_43,seed_44
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	57_svo_ng_er_b_pa	svo	ng	erg-abs	balancing	poss-acc	vos	VS	VPA	100	1.0	0.0	100.0	0.0	1.0	1.0	0.0	0.0	3.255028234322866	0.15203818689124052	bos_eos	seed_42,seed_43,seed_44
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	58_svo_ng_er_b_ep	svo	ng	erg-abs	balancing	erg-poss	vos	VS	VPA	100	1.0	0.0	100.0	0.0	1.0	1.0	0.0	0.0	3.372149327596029	0.029987658286570067	bos_eos	seed_42,seed_43,seed_44
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	59_svo_ng_er_b_no	svo	ng	erg-abs	balancing	nomn	vos	VS	VPA	100	1.0	0.0	100.0	0.0	1.0	1.0	0.0	0.0	3.469682930310567	0.10647804484417948	bos_eos	seed_42,seed_43,seed_44
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	60_svo_ng_er_d_se	svo	ng	erg-abs	deranking	sent	svo	SV	AVP	100	0.99	0.010000000000000009	99.0	1.0	0.98	1.0	0.0	0.0	1.5832228716214498	0.064772733163981	bos_eos	seed_42,seed_43,seed_44
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	61_svo_ng_er_d_pa	svo	ng	erg-abs	deranking	poss-acc	vos	VS	VPA	100	0.9933333333333333	0.005773502691896263	99.33333333333333	0.5773502691896257	0.99	1.0	0.0	0.0	1.5986285519599914	0.10499585981101692	bos_eos	seed_42,seed_43,seed_44
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	62_svo_ng_er_d_ep	svo	ng	erg-abs	deranking	erg-poss	vos	VS	VPA	100	0.9866666666666667	0.005773502691896263	98.66666666666667	0.5773502691896257	0.98	0.99	0.0	0.0	1.461052119731903	0.07040793831922089	bos_eos	seed_42,seed_43,seed_44
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	63_svo_ng_er_d_no	svo	ng	erg-abs	deranking	nomn	vos	VS	VPA	100	0.97	0.017320508075688787	97.0	1.7320508075688772	0.95	0.98	0.0	0.0	1.5327037008603415	0.08866102497917164	bos_eos	seed_42,seed_43,seed_44
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	64_vos_gn_ac_b_se	vos	gn	nom-acc	balancing	sent	vos	VS	VPA	100	1.0	0.0	100.0	0.0	1.0	1.0	0.0	0.0	2.629078072706858	0.15414500577738732	bos_eos	seed_42,seed_43,seed_44
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	65_vos_gn_ac_b_pa	vos	gn	nom-acc	balancing	poss-acc	svo	SV	AVP	100	1.0	0.0	100.0	0.0	1.0	1.0	0.0	0.0	3.022273101011912	0.1167660485215644	bos_eos	seed_42,seed_43,seed_44
