phenomenon	figure_stem	label	title	language	clause_wo	np_wo	alignment	comp_system	strategy	anc_choice_word_order	anc_iv_order	anc_tv_order	tau	accuracy_pct_seed_42	accuracy_pct_seed_43	accuracy_pct_seed_44	learning_score_seed_42	learning_score_seed_43	learning_score_seed_44	seed_disagreement
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	42_svo_gn_er_b_ep	svo	gn	erg-abs	balancing	erg-poss	sov	SV	PVA	5.0	100.0	100.0	100.0	1.0	1.0	1.0	0.0
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	43_svo_gn_er_b_no	svo	gn	erg-abs	balancing	nomn	svo	SV	AVP	5.0	100.0	99.0	100.0	1.0	0.9800010051162833	1.0	0.019998994883716703
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	44_svo_gn_er_d_se	svo	gn	erg-abs	deranking	sent	svo	SV	AVP	5.0	95.0	98.0	99.0	0.9000078003290506	0.9600022327543785	0.9800010051162833	0.07999320478723271
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	45_svo_gn_er_d_pa	svo	gn	erg-abs	deranking	poss-acc	svo	SV	AVP	5.0	96.0	99.0	97.0	0.9200055635398481	0.9800010051162833	0.9400037321744893	0.059995441576435216
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	46_svo_gn_er_d_ep	svo	gn	erg-abs	deranking	erg-poss	sov	SV	PVA	5.0	96.0	96.0	97.0	0.9200055635398481	0.9200055635398481	0.9400037321744893	0.01999816863464121
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	47_svo_gn_er_d_no	svo	gn	erg-abs	deranking	nomn	svo	SV	AVP	5.0	97.0	97.0	95.0	0.9400037321744893	0.9400037321744893	0.9000078003290506	0.039995931845438704
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	48_svo_ng_ac_b_se	svo	ng	nom-acc	balancing	sent	svo	SV	AVP	5.0	100.0	100.0	100.0	1.0	1.0	1.0	0.0
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	49_svo_ng_ac_b_pa	svo	ng	nom-acc	balancing	poss-acc	vos	VS	VPA	5.0	100.0	100.0	100.0	1.0	1.0	1.0	0.0
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	50_svo_ng_ac_b_ep	svo	ng	nom-acc	balancing	erg-poss	vos	VS	VPA	5.0	100.0	100.0	100.0	1.0	1.0	1.0	0.0
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	51_svo_ng_ac_b_no	svo	ng	nom-acc	balancing	nomn	vos	VS	VPA	5.0	100.0	100.0	100.0	1.0	1.0	1.0	0.0
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	52_svo_ng_ac_d_se	svo	ng	nom-acc	deranking	sent	svo	SV	AVP	5.0	99.0	99.0	94.0	0.9800010051162833	0.9800010051162833	0.880010532281679	0.09999047283460427
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	53_svo_ng_ac_d_pa	svo	ng	nom-acc	deranking	poss-acc	vos	VS	VPA	5.0	94.0	98.0	98.0	0.880010532281679	0.9600022327543785	0.9600022327543785	0.07999170047269943
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	54_svo_ng_ac_d_ep	svo	ng	nom-acc	deranking	erg-poss	vos	VS	VPA	5.0	99.0	100.0	97.0	0.9800010051162833	1.0	0.9400037321744893	0.05999626782551071
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	55_svo_ng_ac_d_no	svo	ng	nom-acc	deranking	nomn	vos	VS	VPA	5.0	97.0	98.0	98.0	0.9400037321744893	0.9600022327543785	0.9600022327543785	0.019998500579889167
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	56_svo_ng_er_b_se	svo	ng	erg-abs	balancing	sent	svo	SV	AVP	5.0	100.0	100.0	100.0	1.0	1.0	1.0	0.0
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	57_svo_ng_er_b_pa	svo	ng	erg-abs	balancing	poss-acc	vos	VS	VPA	5.0	100.0	100.0	100.0	1.0	1.0	1.0	0.0
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	58_svo_ng_er_b_ep	svo	ng	erg-abs	balancing	erg-poss	vos	VS	VPA	5.0	100.0	100.0	100.0	1.0	1.0	1.0	0.0
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	59_svo_ng_er_b_no	svo	ng	erg-abs	balancing	nomn	vos	VS	VPA	5.0	100.0	100.0	100.0	1.0	1.0	1.0	0.0
